,Model,Sofa,Oddratio,upper,under
1,Mortality,0 to 5,1.188806663,1.254764618,1.126315854
2,Pressor,0 to 5,1.118043184,1.156218539,1.081128281
3,RRT,0 to 5,0.778380344,0.862065522,0.702818922
4,Ventilation,0 to 5,1.120875414,1.157626282,1.085291267
5,Mortality,06 to 10,1.058336145,1.104179583,1.014396039
6,Pressor,06 to 10,1.149262003,1.190531683,1.109422933
7,RRT,06 to 10,0.783424958,0.828789729,0.74054328
8,Ventilation,06 to 10,1.081328091,1.119499824,1.044457905
9,Mortality,11 to 15,1.044606229,1.106655496,0.986036014
10,Pressor,11 to 15,1.035112379,1.135575533,0.943537094
11,RRT,11 to 15,0.96108733,1.025224487,0.900962538
12,Ventilation,11 to 15,1.034822589,1.119393253,0.956641276
13,Mortality,above 16,1.163088538,1.333130959,1.014735229
14,Pressor,above 16,1.977433912,3.5622344,1.097694422
15,RRT,above 16,1.199530224,1.365372384,1.053831742
16,Ventilation,above 16,0.980953717,1.315969952,0.73122505